iter	Passed	Remaining
368	1958	695
369	1963	690
370	1968	684
371	1974	679
372	1978	673
373	1984	668
374	1989	663
375	1994	657
376	1999	652
377	2003	646
378	2008	641
379	2014	636
380	2017	630
381	2022	624
382	2027	619
383	2029	613
384	2035	608
385	2040	602
386	2045	597
387	2049	591
388	2054	586
389	2059	581
390	2065	575
391	2070	570
392	2075	565
393	2083	560
394	2089	555
395	2095	550
396	2101	545
397	2105	539
398	2111	534
399	2117	529
400	2122	523
401	2127	518
402	2132	513
403	2138	508
404	2145	503
405	2151	498
406	2158	493
407	2163	487
408	2170	482
409	2176	477
410	2181	472
411	2187	467
412	2192	461
413	2198	456
414	2202	451
415	2207	445
416	2213	440
417	2218	435
418	2224	429
419	2229	424
420	2234	419
421	2241	414
422	2247	409
423	2251	403
424	2257	398
425	2263	393
426	2269	388
427	2274	382
428	2281	377
429	2286	372
430	2293	367
431	2297	361
432	2303	356
433	2310	351
434	2315	346
435	2321	340
436	2326	335
